index,longitude,latitude,address,in_clust,elev
459,126.7064,36.535,충청남도 홍성군 홍동면 문당리,1,59.4
460,126.8064,36.535,충청남도 예산군 광시면 시목리,1,270.1
463,127.1064,36.535,충청남도 공주시 정안면 상룡리,1,65.5
464,127.2064,36.535,세종특별자치시 장군면 평기리,1,159.5
465,127.3064,36.535,세종특별자치시 용호동,1,93.5
467,127.5065,36.535,충청북도 청주시 상당구 가덕면 국전리,1,85.3
468,127.6065,36.535,충청북도 보은군 회인면 쌍암리,1,224.2
469,127.7065,36.535,충청북도 보은군 내북면 서지리,1,185.1
470,127.8065,36.535,충청북도 보은군 속리산면 북암리,1,604.5
473,128.1066,36.535,경상북도 상주시 공검면 지평리,1,88.3
474,128.2066,36.535,경상북도 상주시 함창읍 신덕리,1,89.7
475,128.3066,36.535,경상북도 예천군 풍양면 우망리,1,223.0
477,128.5066,36.535,경상북도 안동시 풍천면 광덕리,1,97.3
478,128.6066,36.535,경상북도 안동시 남후면 단호리,1,278.1
479,128.7066,36.535,경상북도 안동시 수상동,1,213.4
480,128.8066,36.535,경상북도 안동시 남선면 이천리,1,89.1
483,129.1067,36.535,경상북도 청송군 진보면 시량리,1,257.7
484,129.2067,36.535,경상북도 영양군 석보면 화매리,1,557.8
485,129.3067,36.535,경상북도 영덕군 영해면 묘곡리,1,350.0
487,126.6064,36.435,충청남도 보령시 청소면 정전리,1,51.6
488,126.7064,36.435,충청남도 청양군 화성면 농암리,1,163.2
489,126.8064,36.435,충청남도 청양군 청양읍 벽천리,1,246.2
490,126.9064,36.435,충청남도 청양군 정산면 마치리,1,288.5
493,127.2064,36.435,충청남도 공주시 반포면 마암리,1,59.2
494,127.3064,36.435,세종특별자치시 금남면 축산리,1,133.7
495,127.4065,36.435,대전광역시 대덕구 신일동,1,37.7
497,127.6065,36.435,충청북도 보은군 회남면 광포리,1,171.2
498,127.7065,36.435,충청북도 보은군 삼승면 선곡리,1,268.9
499,127.8065,36.435,충청북도 보은군 탄부면 하장리,1,141.2
500,127.9065,36.435,경상북도 상주시 화서면 금산리,1,312.7
503,128.2066,36.435,경상북도 상주시 병성동,1,48.9
504,128.3066,36.435,경상북도 상주시 중동면 금당리,1,211.2
505,128.4066,36.435,경상북도 의성군 다인면 삼분리,1,90.8
507,128.6066,36.435,경상북도 안동시 일직면 평팔리,1,230.8
508,128.7066,36.435,경상북도 의성군 단촌면 관덕리,1,146.1
509,128.8066,36.435,경상북도 의성군 옥산면 신계리,1,397.5
510,128.9066,36.435,경상북도 안동시 길안면 만음리,1,142.0
513,129.2067,36.435,경상북도 영덕군 지품면 송천리,1,558.3
514,129.3067,36.435,경상북도 영덕군 지품면 신양리,1,132.6
515,126.6064,36.335,충청남도 보령시 명천동,1,38.2
517,126.8064,36.335,충청남도 부여군 은산면 오번리,1,114.0
518,126.9064,36.335,충청남도 청양군 장평면 분향리,1,8.0
519,127.0064,36.335,충청남도 공주시 탄천면 성리,1,30.3
520,127.1064,36.335,충청남도 논산시 노성면 화곡리,1,70.3
523,127.4065,36.335,대전광역시 중구 목동,1,67.3
524,127.5065,36.335,충청북도 옥천군 군북면 증약리,1,172.9
525,127.6065,36.335,충청북도 옥천군 옥천읍 수북리,1,75.4
527,127.8065,36.335,충청북도 옥천군 청산면 판수리,1,116.5
528,127.9065,36.335,경상북도 상주시 모서면 득수리,1,245.9
529,128.0065,36.335,경상북도 상주시 모동면 덕곡리,1,294.5
530,128.1066,36.335,경상북도 상주시 청리면 덕산리,1,100.0
533,128.4066,36.335,경상북도 의성군 구천면 소호리,1,147.9
534,128.5066,36.335,경상북도 의성군 비안면 장춘리,1,44.5
535,128.6066,36.335,경상북도 의성군 봉양면 사부리,1,284.4
537,128.8066,36.335,경상북도 의성군 옥산면 실업리,1,407.1
538,128.9066,36.335,경상북도 안동시 길안면 송사리,1,430.8
539,129.0067,36.335,경상북도 청송군 안덕면 근곡리,1,249.1
540,129.1067,36.335,경상북도 청송군 주왕산면 부일리,1,381.5
543,129.4067,36.335,경상북도 영덕군 강구면 삼사리,1,-32.1
544,126.6064,36.235,충청남도 보령시 웅천읍 대창리,1,26.2
545,126.7064,36.235,충청남도 보령시 미산면 봉성리,1,123.5
547,126.9064,36.235,충청남도 부여군 장암면 정암리,1,63.5
548,127.0064,36.235,충청남도 부여군 석성면 현내리,1,64.3
549,127.1064,36.235,충청남도 논산시 광석면 왕전리,1,8.1
550,127.2064,36.235,충청남도 논산시 연산면 관동리,1,122.9
553,127.5065,36.235,충청남도 금산군 추부면 신평리,1,239.8
554,127.6065,36.235,충청북도 옥천군 이원면 강청리,1,168.6
555,127.7065,36.235,충청북도 영동군 심천면 고당리,1,102.6
557,127.9065,36.235,충청북도 영동군 황간면 신흥리,1,163.4
558,128.0065,36.235,충청북도 영동군 추풍령면 지봉리,1,268.6
559,128.1066,36.235,경상북도 김천시 어모면 구례리,1,259.1
560,128.2066,36.235,경상북도 김천시 감문면 광덕리,1,141.3
563,128.5066,36.235,경상북도 군위군 소보면 산법리,1,124.9
564,128.6066,36.235,경상북도 군위군 군위읍 용대리,1,105.8
565,128.7066,36.235,경상북도 의성군 가음면 귀천리,1,96.1
