,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
171,2016,1,8,3,-5.6,2.4,-12.7,1.7,57,6.8,1002.0,1.5,2.3,0.9,0,0
172,2016,1,8,4,-5.6,2.4,-13.1,1.7,56,6.7,1002.0,1.5,2.1,0.8,0,0
173,2016,1,8,5,-5.7,2.4,-13.0,1.7,56,6.7,1001.5,1.5,2.0,0.7,0,0
174,2016,1,8,6,-5.7,2.4,-13.0,1.7,56,6.7,1001.6,1.5,1.9,0.7,0,0
175,2016,1,8,7,-5.6,2.4,-13.0,1.7,56,6.7,1001.7,1.5,1.8,0.7,11,1
176,2016,1,8,8,-5.7,2.4,-13.2,1.7,55,6.6,1002.0,1.5,1.8,0.7,20,1
177,2016,1,8,9,-4.5,2.4,-13.7,1.7,49,5.9,1002.5,1.5,2.2,0.8,154,11
178,2016,1,8,10,-3.1,2.4,-14.7,1.7,40,4.8,1002.9,1.5,2.6,1.0,306,21
179,2016,1,8,11,-1.7,2.4,-15.6,1.7,34,4.1,1002.8,1.5,2.9,1.1,427,30
180,2016,1,8,12,-0.6,2.4,-15.5,1.7,31,3.7,1002.3,1.5,3.3,1.2,495,35
181,2016,1,8,13,0.2,2.4,-14.4,1.7,32,3.8,1001.4,1.5,3.5,1.3,502,35
182,2016,1,8,14,0.6,2.4,-13.1,1.7,35,4.2,1001.0,1.5,3.6,1.3,446,31
183,2016,1,8,15,0.7,2.4,-12.3,1.7,37,4.4,1000.8,1.5,3.8,1.4,336,24
184,2016,1,8,16,-0.1,2.4,-12.6,1.7,38,4.6,1000.7,1.5,3.7,1.4,187,13
185,2016,1,8,17,-1.0,2.4,-11.7,1.7,44,5.3,1001.1,1.5,2.9,1.1,0,0
186,2016,1,8,18,-2.0,2.4,-10.9,1.7,51,6.1,1001.6,1.5,2.3,0.9,10,1
187,2016,1,8,19,-2.6,2.4,-10.1,1.7,56,6.7,1002.0,1.5,1.9,0.7,10,1
188,2016,1,8,20,-3.5,2.4,-9.4,1.7,64,7.7,1002.5,1.5,1.5,0.6,0,0
189,2016,1,8,21,-3.9,2.4,-8.9,1.7,68,8.2,1002.6,1.5,1.2,0.4,0,0
190,2016,1,8,22,-4.0,2.4,-8.7,1.7,70,8.4,1002.9,1.5,1.2,0.4,0,0
191,2016,1,8,23,-4.9,2.4,-8.9,1.7,74,8.9,1003.1,1.5,1.5,0.6,0,0
192,2016,1,9,0,-5.5,2.4,-9.6,1.7,73,8.8,1003.2,1.5,1.9,0.7,0,0
193,2016,1,9,1,-5.7,2.4,-10.7,1.7,68,8.2,1003.4,1.5,2.0,0.7,0,0
194,2016,1,9,2,-5.8,2.4,-11.8,1.7,63,7.6,1003.5,1.5,2.0,0.7,0,0
195,2016,1,9,3,-6.0,2.4,-12.5,1.7,60,7.2,1004.0,1.5,2.0,0.7,0,0
196,2016,1,9,4,-5.6,2.4,-11.7,1.7,62,7.4,1003.7,1.5,1.5,0.6,0,0
197,2016,1,9,5,-5.6,2.4,-12.3,1.7,59,7.1,1003.5,1.5,1.4,0.5,0,0
198,2016,1,9,6,-5.3,2.4,-12.5,1.7,57,6.8,1003.7,1.5,1.2,0.4,0,0
199,2016,1,9,7,-5.1,2.4,-12.4,1.7,57,6.8,1004.0,1.5,1.1,0.4,10,1
200,2016,1,9,8,-4.7,2.4,-12.2,1.7,56,6.7,1004.5,1.5,1.0,0.4,19,1
201,2016,1,9,9,-3.9,2.4,-11.5,1.7,56,6.7,1004.9,1.5,1.2,0.4,153,11
202,2016,1,9,10,-2.0,2.4,-10.6,1.7,52,6.2,1005.3,1.5,1.6,0.6,307,21
203,2016,1,9,11,-0.7,2.4,-9.8,1.7,50,6.0,1005.5,1.5,2.2,0.8,429,30
204,2016,1,9,12,0.6,2.4,-10.3,1.7,44,5.3,1004.7,1.5,3.5,1.3,498,35
205,2016,1,9,13,0.5,2.4,-9.5,1.7,47,5.6,1004.0,1.5,3.4,1.3,506,35
206,2016,1,9,14,1.0,2.4,-9.3,1.7,46,5.5,1003.5,1.5,3.7,1.4,451,32
207,2016,1,9,15,0.9,2.4,-8.7,1.7,49,5.9,1003.4,1.5,3.6,1.3,342,24
208,2016,1,9,16,0.1,2.4,-9.5,1.7,48,5.8,1003.2,1.5,3.4,1.3,192,13
209,2016,1,9,17,-0.6,2.4,-8.7,1.7,54,6.5,1003.4,1.5,3.1,1.1,37,3
210,2016,1,9,18,-1.3,2.4,-8.0,1.7,60,7.2,1003.8,1.5,2.4,0.9,10,1
211,2016,1,9,19,-1.6,2.4,-7.6,1.7,64,7.7,1004.3,1.5,2.0,0.7,10,1
